title,price,region,city,rooms,area_m2,floor,total_floors,year,price_per_m2,floor_ratio,apartment_age,price_category,size_category,district
1-комнатная квартира · 40.3 м² · 7/12 этаж,26000000,"нура р-н, е-429 26",астана,1,40.3,7,12,2026,645161.2903225807,0.5833333333333334,0,mid,medium,нура р-н
1-комнатная квартира · 40 м² · 7/9 этаж,32000000,"ауэзовский р-н, мкр аксай-4 — саина улыкбека",алматы,1,40.0,7,9,1987,800000.0,0.7777777777777778,39,high,small,ауэзовский р-н
1-комнатная квартира · 42.9 м² · 2/13 этаж,27000000,"сарыарка р-н, косшыгулулы 6 — жк акерке 2",астана,1,42.9,2,13,2022,629370.6293706294,0.15384615384615385,4,mid,medium,сарыарка р-н
2-комнатная квартира · 57.6 м² · 2/3 этаж,38000000,"наурызбайский р-н, мкр карагайлы, кали надырова",алматы,2,57.6,2,3,2024,659722.2222222222,0.6666666666666666,2,high,medium,наурызбайский р-н
3-комнатная квартира · 75 м² · 1/9 этаж,58000000,"алмалинский р-н, аносова",алматы,3,75.0,1,9,1993,773333.3333333334,0.1111111111111111,33,high,large,алмалинский р-н
3-комнатная квартира · 108 м² · 2/6 этаж,74500000,"есильский р-н, улы дала 59",астана,3,108.0,2,6,2015,689814.8148148148,0.3333333333333333,11,luxury,very_large,есильский р-н
3-комнатная квартира · 130 м² · 4/10 этаж,80000000,13-й мкр 54,актау,3,130.0,4,10,2019,615384.6153846154,0.4,7,luxury,very_large,unknown
3-комнатная квартира · 64 м² · 6/9 этаж,41000000,"наурызбайский р-н, мкр шугыла, мкрн шугыла 340/46",алматы,3,64.0,6,9,2024,640625.0,0.6666666666666666,2,high,medium,наурызбайский р-н
3-комнатная квартира · 61.7 м² · 5/5 этаж,50500000,"бостандыкский р-н, мкр алмагуль, си синхая — гагарина-байкадамова",алматы,3,61.7,5,5,1979,818476.4991896272,1.0,47,high,medium,бостандыкский р-н
2-комнатная квартира · 43 м² · 6/9 этаж,33900000,"есильский р-н, казыбек би 9 — пересечение улиц туран и р.баглановой",астана,2,43.0,6,9,2023,788372.0930232558,0.6666666666666666,3,high,medium,есильский р-н
1-комнатная квартира · 33 м² · 9/10 этаж,17500000,"есильский р-н, е181 3",астана,1,33.0,9,10,2020,530303.0303030303,0.9,6,mid,small,есильский р-н
2-комнатная квартира · 56 м² · 3/9 этаж,32000000,"наурызбайский р-н, мкр акжар 4 — бирлик жандосова",алматы,2,56.0,3,9,2026,571428.5714285715,0.3333333333333333,0,high,medium,наурызбайский р-н
1-комнатная квартира · 31 м² · 1/5 этаж,45000000,"бостандыкский р-н, мкр казахфильм, ул. алматинская 39 — уг. ул сыргабекова дом на ул. арычная",алматы,1,31.0,1,5,1985,1451612.9032258065,0.2,41,high,small,бостандыкский р-н
2-комнатная квартира · 69.1 м² · 2/9 этаж,51000000,"ауэзовский р-н, мустай карима 12/16 — сайна жандосова",алматы,2,69.1,2,9,2006,738060.7814761216,0.2222222222222222,20,high,medium,ауэзовский р-н
2-комнатная квартира · 62 м² · 8/14 этаж,33000000,"алматы р-н, проспект момышулы 14",астана,2,62.0,8,14,2009,532258.0645161291,0.5714285714285714,17,high,medium,алматы р-н
3-комнатная квартира · 85 м² · 5/5 этаж,86000000,"медеуский р-н, жибек жолы — жибек жолы- абдулинных",алматы,3,85.0,5,5,1973,1011764.7058823529,1.0,53,luxury,large,медеуский р-н
2-комнатная квартира · 61 м² · 12/12 этаж,31500000,"сарыарка р-н, бейбарыс султан 25",астана,2,61.0,12,12,2023,516393.4426229508,1.0,3,high,medium,сарыарка р-н
2-комнатная квартира · 63 м² · 4/9 этаж,41500000,"сарайшык р-н, жумекен нажимеденов",астана,2,63.0,4,9,2018,658730.1587301587,0.4444444444444444,8,high,medium,сарайшык р-н
1-комнатная квартира · 37 м² · 11/22 этаж,32900000,"есильский р-н, туркестан 14 — ботанического сада",астана,1,37.0,11,22,2018,889189.1891891892,0.5,8,high,small,есильский р-н
2-комнатная квартира · 63.6 м² · 4/9 этаж,30500000,"алатауский р-н, мкр зердели 131/1",алматы,2,63.6,4,9,2015,479559.74842767295,0.4444444444444444,11,high,medium,алатауский р-н
4-комнатная квартира · 80 м² · 1/6 этаж,52000000,"наурызбайский р-н, мкр шугыла 2/13 — проспект алатау - толе би",алматы,4,80.0,1,6,2022,650000.0,0.16666666666666666,4,high,large,наурызбайский р-н
1-комнатная квартира · 45 м² · 15/24 этаж,23499000,"сарайшык р-н, калибек куанышбаев, 9/1",астана,1,45.0,15,24,2015,522200.0,0.625,11,mid,medium,сарайшык р-н
5-комнатная квартира · 128 м² · 5/6 этаж,109000000,"бостандыкский р-н, аль-фараби — маркова",алматы,5,128.0,5,6,1996,851562.5,0.8333333333333334,30,luxury,very_large,бостандыкский р-н
2-комнатная квартира · 55 м² · 5/9 этаж,27600000,"9-й микрорайон, кулагер",талдыкорган,2,55.0,5,9,2024,501818.1818181818,0.5555555555555556,2,mid,medium,unknown
2-комнатная квартира · 35 м² · 2/12 этаж,24999000,"сарыарка р-н, чингиз айтматов 77/10",астана,2,35.0,2,12,2024,714257.1428571428,0.16666666666666666,2,mid,small,сарыарка р-н
2-комнатная квартира · 55 м² · 9/10 этаж,26999000,"алматы р-н, айнакол 64",астана,2,55.0,9,10,2026,490890.9090909091,0.9,0,mid,medium,алматы р-н
1-комнатная квартира · 30 м² · 3/5 этаж,14800000,"алматы р-н, куйши дина 4/4 — самая низкая цена",астана,1,30.0,3,5,2021,493333.3333333333,0.6,5,budget,small,алматы р-н
3-комнатная квартира · 89.2 м² · 1/21 этаж,79999999,"бостандыкский р-н, гагарина — проспект абая",алматы,3,89.2,1,21,2017,896860.9753363228,0.047619047619047616,9,luxury,large,бостандыкский р-н
1-комнатная квартира · 44.5 м² · 10/12 этаж,23000000,"алатауский р-н, мкр нуркент 43 — ул.рыскулова , уг.ул.момышулы",алматы,1,44.5,10,12,2015,516853.93258426967,0.8333333333333334,11,mid,medium,алатауский р-н
3-комнатная квартира · 96.7 м² · 7/8 этаж,69500000,баян сулу 42 — кыз жибек и баян сулу,астана,3,96.7,7,8,2025,718717.683557394,0.875,1,luxury,large,unknown
3-комнатная квартира · 73.7 м² · 5/8 этаж,61000000,"есильский р-н, бухар жырау 25/1",астана,3,73.7,5,8,2025,827679.7829036635,0.625,1,luxury,large,есильский р-н
1-комнатная квартира · 36.5 м² · 4/9 этаж,29000000,"есильский р-н, керей-жанибек хандар 44/2",астана,1,36.5,4,9,2024,794520.5479452055,0.4444444444444444,2,mid,small,есильский р-н
1-комнатная квартира · 46.4 м² · 6/9 этаж,28000000,"алатауский р-н, северное кольцо 86/9 — магазин адина",алматы,1,46.4,6,9,2014,603448.275862069,0.6666666666666666,12,mid,medium,алатауский р-н
2-комнатная квартира · 36.5 м² · 5/5 этаж,20300000,акжан 12,астана,2,36.5,5,5,2024,556164.3835616439,1.0,2,mid,small,unknown
4-комнатная квартира · 138 м² · 8/15 этаж,180000000,"алмалинский р-н, наурызбай батыра 50 — жибек жолы",алматы,4,138.0,8,15,2019,1304347.8260869565,0.5333333333333333,7,luxury,very_large,алмалинский р-н
2-комнатная квартира · 40 м² · 2/3 этаж,29000000,"алатауский р-н, мкр теректы, устирт 10",алматы,2,40.0,2,3,2024,725000.0,0.6666666666666666,2,mid,small,алатауский р-н
3-комнатная квартира · 88 м² · 1/3 этаж,72500000,"бостандыкский р-н, 16 улица 5/2 — возле школы тамос",алматы,3,88.0,1,3,2020,823863.6363636364,0.3333333333333333,6,luxury,large,бостандыкский р-н
5-комнатная квартира · 136.2 м² · 12/12 этаж,180000000,"нура р-н, мухамедханова 4/2",астана,5,136.2,12,12,2025,1321585.9030837005,1.0,1,luxury,very_large,нура р-н
1-комнатная квартира · 39.3 м² · 8/8 этаж,16500000,"нура р-н, айтеке би 3",астана,1,39.3,8,8,2021,419847.32824427483,1.0,5,mid,small,нура р-н
4-комнатная квартира · 113 м² · 9/9 этаж,45900000,айнаколь 64,астана,4,113.0,9,9,2026,406194.6902654867,1.0,0,high,very_large,unknown
3-комнатная квартира · 107 м² · 15/17 этаж,73000000,"алматы р-н, токпанова 8",астана,3,107.0,15,17,2024,682242.9906542056,0.8823529411764706,2,luxury,very_large,алматы р-н
3-комнатная квартира · 75 м² · 9/13 этаж,90000000,"медеуский р-н, кармысова 84/2 — дворец республики",алматы,3,75.0,9,13,2020,1200000.0,0.6923076923076923,6,luxury,large,медеуский р-н
